<S> w a n d e r e,wandered
<S> c a r r y,carrying
<S> s l e e p,sleepily
<S> f,families
<S> a p p,appeared
<S> t h i r t e e n a n d,thirteenandahalf
<S> h a n g,hanging
<S> r e,red
<S> b,bit
<S> s,shocked
<S> a n o t h,another
<S> y,yes
<S> s o,someone
<S> f l a v o,flavor
<S> b,boy
<S> c,change
<S> t e,terrible
<S> t r o u b l,trouble
<S> m i,miss
<S> w h e t h,whether
<S> t e a c h e,teachers
<S> f l i t,flitwick
<S> t a l,talk
<S> g,giant
<S> f u,full
<S> t h r o u g,through
<S> t h u,thundered
<S> i n t e r e s,interest
<S> s t a r t o f,startofterm
<S> g l a,glad
<S> h a,have
<S> b e g,began
<S> p a,packed
<S> r i g h,right
<S> p o m f,pomfrey
<S> m e a n,means
<S> l o,look
<S> j,jordan
<S> e a g e r,eagerly
<S> f i n n,finnigan
<S> h e,helped
<S> i,interest
<S> l e t t,letters
<S> h e ',he'll
<S> a,ask
<S> h,hanging
<S> c h,chasers
<S> b e c a u s,because
<S> c a r r y i,carrying
<S> a,anythin'
<S> e a g e r l,eagerly
<S> t e e t,teeth
<S> a u,aunt
<S> s o u,sound
<S> t,to
<S> j,just
<S> c i r c u m s t a n,circumstances
<S> b,broomstick
<S> i r r i,irritably
<S> t o o,took
<S> s u d d e,sudden
<S> f a m o,famous
<S> a d d e,added
<S> f e e,feet
<S> w,which
<S> t h i n,thing
<S> p a,pale
<S> y e a,years
<S> s,snapped
<S> d e s p e r a t e l,desperately
<S> t h e,them
<S> c,certainly
<S> i ',i'm
<S> l e s s o,lessons
<S> h i,him
<S> p r e f e c t,prefects
<S> w e n,went
<S> m e e,meet
<S> p e o p,people
<S> c l o,cloak
<S> i m p r e,impressed
<S> l e t t e,letters
<S> d a n g e r o,dangerous
<S> h a,hasn't
<S> a d d r,addressed
<S> i n c r e d i b l,incredible
<S> b e,below
<S> s t u f,stuff
<S> g a,gave
<S> s,stone
<S> a d d,added
<S> c a r,card
<S> s,storm
<S> h e l,helped
<S> s n,snape
<S> t e,tea
<S> d r a g,dragons
<S> r a c i,racing
<S> c,card
<S> d e a f e n,deafening
<S> o b v i o,obvious
<S> t h,three
<S> f,forever
<S> a h e,ahead
<S> s,showed
<S> s,start
<S> m,midnight
<S> n e v e,never
<S> u n d e r n,underneath
<S> s h o u,should
<S> g r,ground
<S> n i n,nine
<S> k n o,knows
<S> s,such
<S> a,able
<S> a n y w a,anyway
<S> d u d l e y ',dudley's
<S> t,ter
<S> w,wall
<S> s h u f,shuffling
<S> p o,potter
<S> e x p l,explain
<S> w h e t h e,whether
<S> r,right
<S> w a t,watched
<S> l a,laughing
<S> f u r i o u s,furiously
<S> g l a s s e,glasses
<S> h,hat
<S> d,direction
<S> r a t h,rather
<S> h e a d l e s,headless
<S> t h e y,they've
<S> a l o,alone
<S> h e r m i,hermione
<S> e n o u,enough
<S> t,twisted
<S> h a i,hair
<S> r o n ',ron's
<S> m,man
<S> s u p,supposed
<S> t,two
<S> s t a n d i,standing
<S> i n,inside
<S> s,sign
<S> f o r g o t,forgotten
<S> h i s,hissed
<S> h a p p e,happen
<S> d i,direction
<S> b,because
<S> m,me
<S> w,witch
<S> r o n a,ronan
<S> b l a,black
<S> t h e,their
<S> l o,lost
<S> l,lurking
<S> f l a m e,flamel
<S> m,means
<S> a b,about
<S> r i d g e b a,ridgeback
<S> m a g i,magic
<S> s,smell
<S> g r o w l,growled
<S> c h,change
<S> c a l l,called
<S> n o t i c,noticed
<S> f i,fifty
<S> e a,each
<S> n,new
<S> d,day
<S> s t a i,stairs
<S> p u l l,pulled
<S> g,glasses
<S> n e v i,neville
<S> t o,told
<S> c a r e f u l,carefully
<S> g o t t,gotten
<S> a n x,anxiously
<S> u n,understand
<S> w a t c,watched
<S> w h,whole
<S> m i n u t,minute
<S> w h e r,where's
<S> h e a,heart
<S> t,took
<S> a r r i v e,arrived
<S> p,powerful
<S> l i b,library
<S> n,not
<S> a l l,alley
<S> s e v e r,several
<S> r,rose
<S> s h a d,shadows
<S> e x a,exams
<S> s a,same
<S> s t r e t c h e,stretched
<S> s e v e r a,several
<S> y e,yes
<S> f i,fighting
<S> k n e e,knees
<S> h e,he'd
<S> g r e e,green
<S> t h e r e ',there's
<S> i,incredible
<S> a l,all
<S> f,furious
<S> t,terrified
<S> v,voldemort
<S> m a d,madam
<S> s,shut
<S> b e,because
<S> l a u g h e,laughed
<S> s e,seat
<S> s l y t h e r,slytherins
<S> s c a b b e,scabbers
<S> o,others
<S> a,an'
<S> p o,powerful
<S> c a t,catch
<S> o l d e s,oldest
<S> g,get
<S> a n x i,anxiously
<S> k n,knowing
<S> p a r e n,parents
<S> n,new
<S> h u,huge
<S> w e a s l,weasleys
<S> f u n n,funny
<S> e v,everyone
<S> h o r r i,horrible
<S> s e v,severus
<S> s,sudden
<S> n,night
<S> r,reason
<S> f a,face
<S> s o r t,sorting
<S> s h a k,shaking
<S> m o m e,moment
<S> s,sat
<S> s e e,seemed
<S> n o,nose
<S> w o n,wonder
<S> e x c,excuse
<S> l e a,learn
<S> h,halloween
<S> w,wrong
<S> u n l e,unless
<S> i,it
<S> a b o,about
<S> m a,managed
<S> b e g a,began
<S> d i f,difference
<S> y o u r,yours
<S> d i,difficult
<S> n,nothin'
<S> a b o u,about
<S> h o w e v e,however
<S> p r a c t,practice
<S> s h o,shouted
<S> t a b l,table
<S> w h o,whole
<S> a,anyway
<S> n o s t r i l,nostrils
<S> j o,jordan
<S> n o,not
<S> s i d,side
<S> s p r,sprinted
<S> f i n g,fingers
<S> d o i n,doing
<S> a s,asked
<S> f,forward
<S> a f t e r,afternoon
<S> w r,wrong
<S> s u,suggested
<S> a g a i n s,against
<S> l o o,look
<S> d a r,dark
<S> o p,open
<S> v o,voldemort
<S> w a n,wanted
<S> w e a s l e,weasleys
<S> h,him
<S> y e l,yelled
<S> p e o p l,people
<S> w,wondering
<S> f o r g o t t,forgotten
<S> l o s,lost
<S> s a y i n,saying
<S> m,make
<S> i,into
<S> e n,end
<S> l o n d o,london
<S> s,special
<S> m i,mind
<S> e v e,everyone
<S> i n t e r e s t i n,interesting
<S> s,shop
<S> b e,believe
<S> n o r b e,norbert
<S> a l w a y,always
<S> g,gliding
<S> p a r t i c u l,particularly
<S> c a r r i e,carried
<S> d r,drive
<S> h o r r i b,horrible
<S> w e,were
<S> s u d d e,suddenly
<S> g,go
<S> s o u n d e,sounded
<S> t,trouble
<S> w h o ',who's
<S> k n,know
<S> m a,make
<S> t a k e,taken
<S> e n t r,entrance
<S> c o,coming
<S> c o m p a r t m e n,compartment
<S> c r,crate
<S> m,minute
<S> d i,different
<S> f e l,fell
<S> p,people
<S> l i,light
<S> e,eagerly
<S> b r,broomstick
<S> w o r d,words
<S> l i,listening
<S> n o i,noise
<S> l u,lurking
<S> l,long
<S> a c r,across
<S> s e,seamus
<S> h u r r y i n,hurrying
<S> r o,rose
<S> h,he
<S> s h o u l d n ',shouldn'ta
<S> t,thing
<S> d,dead
<S> b,became
<S> s w a l l,swallowed
<S> s,something
<S> f i g,fighting
<S> t o,too
<S> y e,yet
<S> h a,harry's
<S> f l a m e,flamel
<S> c i r c u m s t a n c,circumstances
<S> j u,just
<S> h a n d,handkerchief
<S> e v e,everything
<S> e y,eyes
<S> w a,waiting
<S> y e l l,yelled
<S> s u r p r i s,surprised
<S> m a d a,madam
<S> u n c e r t a i n l,uncertainly
<S> m u s t a c,mustache
<S> a,agreed
<S> h a p p,happened
<S> t,to
<S> s,stared
<S> e a c,each
<S> c i r c u m s t a n c e,circumstances
<S> u,under
<S> h,having
<S> s,stretched
<S> s p o t t,spotted
<S> t,thirdfloor
<S> f,frogs
<S> w e r,werewolf
<S> d,don't
<S> t,tomorrow
<S> b a,bane
<S> a,as
<S> u n i c o,unicorn
<S> l i t,little
<S> a n s w e,answer
<S> y e,yer
<S> h a,having
<S> i n t e r,interesting
<S> n i m,nimbus
<S> p e,people
<S> k e e,keeper
<S> t,tea
<S> y o,you're
<S> t r,train
<S> w a,wall
<S> f l,flew
<S> q,quickly
<S> s u p,suppose
<S> s,secret
<S> b,balls
<S> t h,that's
<S> m o m e n,moment
<S> d ' y o,d'you
<S> o t,other
<S> b i,bit
<S> s t e p p e,stepped
<S> k e e p,keeper
<S> u m b,umbrella
<S> w a,was
<S> t h,than
<S> y o,you
<S> m a t,match
<S> f e,felt
<S> r i,right
<S> a r m,arms
<S> s t,still
<S> t h e m s e,themselves
<S> q u,quirrell
<S> t e,ter
<S> p r e s s e,pressed
<S> e l,else
<S> a w,away
<S> a n,an'
<S> r o l l,rolled
<S> f u r i o u s l,furiously
<S> i,is
<S> r e m e m,remembered
<S> h e l p,helped
<S> a f t e r n,afternoon
<S> d o w,down
<S> m u s,must
<S> l e a r,learn
<S> w,walked
<S> f e,fer
<S> k e,kept
<S> w e r e,werewolf
<S> s h,shop
<S> d i f,different
<S> h a r d,harder
<S> l,lot
<S> s t a i r,stairs
<S> p o m f r,pomfrey
<S> c a,card
<S> w e a s l e y,weasleys
<S> u n i c o r,unicorn
<S> r a,ran
<S> a r e n,aren't
<S> o u r s e l v e,ourselves
<S> s i,sir
<S> s t a n d i n,standing
<S> f,funny
<S> p,possession
<S> n e v i l,neville's
<S> i r r i t,irritably
<S> m o a n,moaned
<S> h u r,hurt
<S> t r,try
<S> u n,under
<S> p e e r,peering
<S> b r o o m s t,broomsticks
<S> t h i n k i,thinking
<S> t r a p,trapdoor
<S> w a l k i n,walking
<S> m a,mad
<S> b e,been
<S> e x a m,exams
<S> s i l v e,silver
<S> s t,stretched
<S> p,past
<S> h u r r i,hurried
<S> s h o u l d n ' t,shouldn'ta
<S> s m,small
<S> d,dursleys
<S> g a v,gave
<S> s h,shocked
<S> a,at
<S> w,wait
<S> t o,tomorrow
<S> p l e a s e,pleased
<S> k n o,know
<S> t u r n i n,turning
<S> t h e,they
<S> t e,terrified
<S> y e a r,years
<S> h e r b o l o,herbology
<S> s h,shook
<S> s i,sign
<S> s p e a,speak
<S> l u r,lurking
<S> p o c k e,pocket
<S> w o,wondering
<S> s h a l,shall
<S> b e,beard
<S> h,held
<S> o ',o'clock
<S> y e,yeah
<S> w h,whatever
<S> q u i e,quiet
<S> c,chocolate
<S> h o p,hope
<S> g r a n d m o t h e,grandmother
<S> s a u s a,sausages
<S> w e ',we've
<S> r,room
<S> t,they
<S> u s u a,usual
<S> t i,times
<S> o w,owl
<S> w,walking
<S> s h u f f,shuffling
<S> p,please
<S> s l y t h e r i,slytherins
<S> g e,get
<S> t,take
<S> d e c i d e,decided
<S> t o m,tomorrow
<S> r,raised
<S> s t i,still
<S> s n i t,snitch
<S> g o,goyle
<S> m a r c,marched
<S> h,help
<S> n o t h i n,nothing
<S> s a,said
<S> s t o p p e,stopped
<S> a n s w e r,answered
<S> r e m e m,remembrall
<S> p a c k,package
<S> e v e,evening
<S> m o v,move
<S> s i d e w,sideways
<S> y,yeh've
<S> h a s,hasn't
<S> s o,sort
<S> w o,won't
<S> t o,took
<S> f o,forward
<S> u n w r,unwrapped
<S> t h,thing
<S> t i,time
<S> t,think
<S> p l,please
<S> g r,grounds
<S> c a l l e,called
<S> a n,and
<S> g l,gliding
<S> s t o p p e,stopped
<S> s p o t t e,spotted
<S> s t a n,stand
<S> m c g o n a g a,mcgonagall's
<S> p l a,players
<S> t,things
<S> s w a l l o,swallowed
<S> h o,home
<S> w i,witch
<S> c,close
<S> s h r,shrieked
<S> l o n g b o t t,longbottom
<S> p a c k a,package
<S> w,whether
<S> t w e l v,twelve
<S> w a r,warned
<S> t h a,thanks
<S> i n v i s,invisible
<S> s e n,send
<S> s,send
<S> e n o u g,enough
<S> w,wand
<S> a r e n ',aren't
<S> a s k,asked
<S> l,lost
<S> a,about
<S> l i k,like
<S> s,saw
<S> h a r,hard
<S> d r i n,drink
<S> w e,welcome
<S> u n d e r n e,underneath
<S> h,headless
<S> r o,robes
<S> w h a,whatever
<S> h i d d,hidden
<S> c a,call
<S> f e,few
<S> s l y t h e r,slytherin
<S> r e m e m b,remembrall
<S> w e n,went
<S> i ' l,i'll
<S> d,day
<S> t h e y ',they've
<S> t e a,tears
<S> b r e,breath
<S> s h,shut
<S> s,station
<S> c r a,crate
<S> a c r o,across
<S> s e,serious
<S> g,go
<S> f i n a l,finally
<S> a l,although
<S> s e a,seat
<S> q u i v e r i,quivering
<S> h o m,home
<S> p o,possession
<S> s h o u,shouted
<S> h,have
<S> t e a r,tears
<S> f l e,flew
<S> d i r,direction
<S> h,half
<S> c l,clutching
<S> p r a c t i,practice
<S> p a r c h m,parchment
<S> b l o o,bloody
<S> a,as
<S> i n t e r e s t,interested
<S> w e l,welcome
<S> w,white
<S> s l y t h e r i,slytherin
<S> s q u e,squeaked
<S> p e r,percy
<S> f l i,flint
<S> a n g,angrily
<S> l u c,lucky
<S> m a k,make
<S> b r,breaking
<S> d o,door
<S> d,doing
<S> a,an'
<S> a r o,around
<S> c h a r l i e ',charlie's
<S> w i s,wished
<S> b e t t e,better
<S> w,would
<S> l o u,loud
<S> t h i r,third
<S> c a,can
<S> m i,midnight
<S> s,she
<S> f,flavor
<S> q u e s t i o,questions
<S> s t a r t i,starting
<S> e m,empty
<S> p o,potter's
<S> w e ' r,we're
<S> b,brought
<S> g r o w l e,growled
<S> w h,white
<S> h e ' l,he'll
<S> h,his
<S> c r i e,cried
<S> k i l,kill
<S> w a t c,watch
<S> n i,nice
<S> b r o t,brothers
<S> b l o o d,bloody
<S> t,try
<S> p e r h a,perhaps
<S> m,minutes
<S> p a r t i c u l a,particularly
<S> s e,secret
<S> n o,now
<S> e,even
<S> a s k e,asked
<S> p l a y i,playing
<S> f r i,friend
<S> c,cart
<S> p e e r i,peering
<S> e v e r,everyone
<S> s o,something
<S> l,lessons
<S> a,as
<S> e a,eagerly
<S> e l e,eleven
<S> p r o f e,professor
<S> q u i r r,quirrell's
<S> p i c k e,picked
<S> t o l,told
<S> m a t t e,matter
<S> c a r e f u l l,carefully
<S> s,sir
<S> f i r e,firenze
<S> p o i n t e,pointed
<S> s h u,shut
<S> r o b,robes
<S> m a y b,maybe
<S> t,third
<S> w h o l,whole
<S> k e p,kept
<S> s o m e,somethin'
<S> w a,want
<S> t h r,threw
<S> p r e f,prefects
<S> s,see
<S> d o n,done
<S> c o l,cold
<S> p a,pain
<S> g,getting
<S> d,do
<S> c a,case
<S> u,unicorn
<S> q u i e,quietly
<S> b r,bright
<S> p a r t i c u l a r,particularly
<S> f l u f f,fluffy
<S> w e ' l,we'll
<S> w,wasn't
<S> a,aren't
<S> q u i v e r i,quivering
<S> h,hanging
<S> t h,they
<S> h i s s,hissed
<S> r a v e n c,ravenclaw
<S> n,now
<S> p o s,possession
<S> p l a y i n,playing
<S> o,out
<S> c e,centaur
<S> m o u,mountain
<S> g a m,game
<S> a g,again
<S> f,fer
<S> e i t h e,either
<S> y e,year
<S> o b v i o u,obvious
<S> a d d e,added
<S> t,the
<S> u,uncle
<S> c r a t,crate
<S> e,excellent
<S> w h,which
<S> h e,her
<S> s p,special
<S> s e c,secret
<S> i ' v,i've
<S> d u r s l e,dursleys
<S> c,can
<S> b,both
<S> s e c o n,second
<S> m u s t a c h,mustache
<S> p r e t e,pretend
<S> o,oh
<S> s o r t i,sorting
<S> i,i'm
<S> c l,clapping
<S> w,why
<S> p a l,pale
<S> g,goes
<S> t u r,turn
<S> f i n a l l,finally
<S> b o,both
<S> c e,certainly
<S> u n,uncle
<S> d a n g e r o u,dangerous
<S> t o o,took
<S> h,he
<S> f,found
<S> w o m a,woman
<S> g,ghost
<S> c h r i s t m,christmas
<S> g l i,gliding
<S> s o m,something
<S> e n t r a,entrance
<S> a r o u,around
<S> c a r e f,careful
<S> t i m,times
<S> s e,send
<S> s n a,snake
<S> s t u,stupid
<S> t e,tea
<S> r o b e,robes
<S> a b,about
<S> n o,nothin'
<S> s,some
<S> m a l,malkin's
<S> p e e v,peeves
<S> w i l,will
<S> b,better
<S> s t o,stood
<S> b r e a,breath
<S> p a i,pain
<S> o t h,other
<S> u n t i,until
<S> a,answer
<S> s a,say
<S> s o r t,sorted
<S> b e,became
<S> b o,boy
<S> l e f,left
<S> b e l,believe
<S> i,if
<S> c e l e b r a t i,celebrating
<S> t r,tried
<S> c,can
<S> k e e,keep
<S> w i n g,wingardium
<S> m u s t ' v,must've
<S> r,red
<S> t r e m b l,trembled
<S> r a v e n c l,ravenclaw
<S> k,know
<S> d,doesn't
<S> l,last
<S> t e r,terrified
<S> r o n,ronan
<S> p a n,panted
<S> c r,crabbe
<S> p,pocket
<S> b u s i,business
<S> o,other
<S> l e s s o n,lessons
<S> p o s s,possession
<S> a l o n,along
<S> r,ron's
<S> b l o o,blood
<S> p o i n,point
<S> s,sent
<S> w a i,waiting
<S> w,watch
<S> d,do
<S> f i n i s h e,finished
<S> d,dragon
<S> c o,cold
<S> s o m,someone
<S> l a,last
<S> i n v i s i,invisible
<S> o,of
<S> b r o o,broom
<S> s a,saw
<S> i,it's
<S> y o u k n o w w h o,youknowwho's
<S> h,he
<S> h a n d k,handkerchief
<S> p o s s e,possession
<S> s h o u l,should
<S> n e v i l l,neville's
<S> m o u n,mountain
<S> i,i'll
<S> l o,lost
<S> f i n n i,finnigan
<S> c o m p,computer
<S> h o,howling
<S> g u a r d,guarding
<S> w h,whistle
<S> j u m,jumped
<S> k n o,knowing
<S> t o m o,tomorrow
<S> s e v e,severus
<S> r e l i e v,relieved
<S> t,that's
<S> t o w e,tower
<S> s t r a n g,strange
<S> s h a r p l,sharply
<S> p o m f r e,pomfrey
<S> i s n ',isn't
<S> s h o u t,shouted
<S> s t,stone
<S> m o n,money
<S> s m i l e,smiled
<S> n e v i l,neville
<S> m i,minute
<S> e l e v,eleven
<S> h,heads
<S> l i,listen
<S> b,broom
<S> b e l,bellowed
<S> w a,walked
<S> w,wizard
<S> f i n n i g,finnigan
<S> o n,one
<S> w a l,wall
<S> t r,troll
<S> t h i n k i n,thinking
<S> p e r c,percy
<S> u n i,uniform
<S> f e a,feather
<S> l a u,laughing
<S> t h r e,threequarters
<S> s p a r k l i,sparkling
<S> h,hurrying
<S> t u r n,turned
<S> f o r g e,forget
<S> u,us
<S> f r o,from
<S> w,words
<S> w h a,what's
<S> s u p p,suppose
<S> e a g,eagerly
<S> s,smiled
<S> f,flamel
<S> d u r s,dursleys'
<S> f e,fer
<S> i t,its
<S> q u,quaffle
<S> h i,his
<S> d u m b l e,dumbledore's
<S> p u,pushed
<S> y o u,you're
<S> v,very
<S> g l,glasses
<S> f,friends
<S> g,green
<S> s o m e t h i n g,something's
<S> j o i,joined
<S> s a,sat
<S> t,through
<S> k n o w,knows
<S> h,hall
<S> s p r i,sprinted
<S> g l a,glasses
<S> d u m b l e d,dumbledore
<S> p u s,pushed
<S> s u r p r i,surprise
<S> h e,heads
<S> w a,watch
<S> o,only
<S> w,what
<S> s,sweater
<S> h o,houses
<S> s i,sight
<S> h o o c,hooch
<S> a n,anyway
<S> s,slipped
<S> r e m e m b,remembered
<S> s p,spell
<S> w,whole
<S> t,thinking
<S> d u,dungeons
<S> n i,night
<S> c l a,clapping
<S> p,picked
<S> l,london
<S> g o t t e,gotten
<S> w,we
<S> s m e l t i n,smelting
<S> g r a n g e,granger
<S> v e,vernon's
<S> s t,station
<S> s t i l,still
<S> l o s,lost
<S> h i,him
<S> f a t h e,father
<S> o p e,open
<S> k n o w,knowing
<S> e x p e c t,expected
<S> c l e a r,clearly
<S> m,mad
<S> s e v,seven
<S> a r,aren't
<S> s h e,she's
<S> b o t,both
<S> t r u,trust
<S> d o,dormitory
<S> t i m e,times
<S> s,stopped
<S> w,we'll
<S> a,at
<S> n i g,night
<S> h a,half
<S> w o n,won't
<S> i n,into
<S> a,anything
<S> c,chessmen
<S> w i,wizard
<S> c l a,classroom
<S> c a t c,catch
<S> c h a,chance
<S> a n y o,anyone
<S> y e l l e,yelled
<S> g,gold
<S> w i n d,window
<S> a t t e n t i,attention
<S> c a u,cauldrons
<S> s t,staring
<S> e x p e c t e,expected
<S> s a i,said
<S> b,bottle
<S> m i,minutes
<S> g u a r d i,guarding
<S> p o i n,point
<S> b r e a t h l e,breathlessly
<S> p,percy
<S> c h a,change
<S> h e r b o l o g,herbology
<S> p a,past
<S> s,second
<S> t w,twisted
<S> o u t,outside
<S> g i,give
<S> s i,sir
<S> u s e,used
<S> h o,honestly
<S> e x p l a,explain
<S> f,feet
<S> s t,stay
<S> w e ' v,we've
<S> d,decided
<S> s o r t e,sorted
<S> s,silver
<S> f,far
<S> s t,students
<S> b i,big
<S> b e w i l d e,bewildered
<S> g,go
<S> l o u d l,loudly
<S> a,arms
<S> g u a r d i n,guarding
<S> d i f,difficult
<S> a b,able
<S> e y e,eyes
<S> o u,our
<S> d,don'
<S> v o l d e m,voldemort's
<S> c,called
<S> y,you'll
<S> c l e a r l,clearly
<S> e,end
<S> h,hurt
<S> o u,out
<S> t r e m b l e,trembled
<S> s t a,stay
<S> b,bit
<S> h,hermione's
<S> n,nostrils
<S> w h e r e,where's
<S> k,knows
<S> y o,youknowwho
<S> p o,pocket
<S> m i n,mind
<S> g r,green
<S> u,used
<S> t r e m b,trembled
<S> f i n n i g a,finnigan
<S> q u i,quirrell
<S> c o m,coming
<S> d r i,drive
<S> c,came
<S> s p e e d i n,speeding
<S> w h,why
<S> t h e y ' r,they're
<S> s l e e p i,sleepily
<S> a m a z e,amazement
<S> a n,anything
<S> s o u n,sounding
<S> l,let
<S> o n c,once
<S> s t a,staring
<S> a,and
<S> b u r,burst
<S> n o r b e r,norbert
<S> i n,invisibility
<S> k n,know
<S> d o,doing
<S> s o u n d,sounding
<S> s o,sorcerer's
<S> u m b r,umbrella
<S> d e,decided
<S> a d d r e,addressed
<S> l e a v,leave
<S> d u r s l,dursley
<S> b e c,because
<S> w,worry
<S> s,said
<S> h a,hall
<S> h u g,huge
<S> h o,how
<S> f i g h,fighting
<S> c,chapter
<S> w,wall
<S> b u s i n,business
<S> o u t s,outside
<S> c,collapsible
<S> w e a,weasley
<S> y o u,youknowwho
<S> s i,silver
<S> b,big
<S> e,each
<S> u,up
<S> s i d e w a,sideways
<S> e x,excellent
<S> h,he
<S> q,quiet
<S> m a,man
<S> d o,don'
<S> b l a c k,blackhaired
<S> u n d,under
<S> y e,yeh've
<S> t h e,then
<S> s w u,swung
<S> i,i'm
<S> p,pockets
<S> h a n d,handed
<S> o t,other
<S> b,be
<S> y,year
<S> r a t h e,rather
<S> c e,ceiling
<S> l o o k,looking
<S> i n c,inches
<S> l u c k,lucky
<S> t i m,time
<S> s,shouldn't
<S> m e,means
<S> y,yelled
<S> q u i e t,quietly
<S> b r o t h,brothers
<S> s o r r,sorry
<S> h,happen
<S> f r o,front
<S> t,too
<S> l i b r,library
<S> w a n,wants
<S> y o u k n o w w h o ',youknowwho's
<S> f,follow
<S> m r,mrs
<S> r,really
<S> n,note
<S> d i d,didn't
<S> s,seems
<S> v o i c,voice
<S> w,was
<S> t h,thinking
<S> e a g e,eagerly
<S> a l l e,alley
<S> c o r r i d o r,corridors
<S> t h a,than
<S> m,mom
<S> t,taking
<S> t,today
<S> w o,words
<S> t r o,troll
<S> a r,arms
<S> s p r i n,sprinted
<S> d u r s l e y,dursleys
<S> s,saying
<S> m a n,many
<S> d i f f,different
<S> d r a g o,dragons
<S> e,expelled
<S> f a,families
<S> h a n,hands
<S> o,off
<S> e n,end
<S> m a n,managed
<S> f,fell
<S> d r o p p e,dropped
<S> m i n,minute
<S> w,why
<S> d r e a m e,dreamed
<S> c h a n g,changed
<S> w i z a r,wizards
<S> u n i f,uniform
<S> t e r r,terrified
<S> w h a t,what's
<S> s t o o,stood
<S> w e,we'll
<S> w h i,white
<S> e x p l a,explained
<S> b i n o c u l,binoculars
<S> p,parcel
<S> g l i d,gliding
<S> i,if
<S> l o,london
<S> d,d'you
<S> r e,really
<S> u,usual
<S> b r o t h e,brothers
<S> w e,well
<S> f l u f f,fluffy
<S> r o u n,round
<S> b a,back
<S> b r e a k f,breakfast
<S> f r,fred
<S> h,he's
<S> a,along
<S> m u,muttered
<S> y e a,yeah
<S> f o l l o w e,followed
<S> s,shouldn't
<S> s p r i n t,sprinted
<S> p r o f e s,professor
<S> m u c,much
<S> d i s a p,disappeared
<S> s,shouldn'ta
<S> w,when
<S> b e,better
<S> h a,hanging
<S> w i z a r d,wizards
<S> h e a,heads
<S> w,went
<S> a h e a,ahead
<S> f u,funny
<S> t h,thirdfloor
<S> c o l,cold
<S> a n,an'
<S> p,pressed
<S> r e a,read
<S> c h r i s t m a,christmas
<S> t h,though
<S> b e a,beard
<S> s,spotted
<S> d r e,dreamed
<S> f,from
<S> g o,good
<S> m u g g l,muggles
<S> a,ahead
<S> n,nervously
<S> i n v i s i b,invisible
<S> l o o k i,looking
<S> f e a t,feather
<S> w a,wall
<S> m i n u,minute
<S> h i s s e,hissed
<S> s e,second
<S> h o l d,holding
<S> p,pleased
<S> k n,knows
<S> t,took
<S> w h i t,white
<S> w e a s,weasley
<S> s t,start
<S> t h,through
<S> d i,did
<S> s c r,screamed
<S> t r,trouble
<S> w a l,walked
<S> b e e,been
<S> s m a,small
<S> s,speak
<S> s,shut
<S> f,flew
<S> b u r s,burst
<S> b e c,became
<S> s h,she
<S> l o o k i n,looking
<S> b e t,better
<S> i g n o,ignored
<S> g o,gone
<S> a r,are
<S> k n o,know
<S> f l i n,flint
<S> c,cried
<S> g o y,goyle
<S> w i s h,wished
<S> s t,street
<S> b e l i,believe
<S> p l a y,players
<S> n e v i l l,neville
<S> k i l,killed
<S> w i n g a,wingardium
<S> r e m e m b e,remembered
<S> w e,went
<S> d u d l e,dudley
<S> w i t,witch
<S> d e c,decided
<S> w a t,watch
<S> l o n g b o t t o,longbottom
<S> e x p e c,expected
<S> b e a u t i f u,beautiful
<S> m o,most
<S> u,until
<S> h,how
<S> a,all
<S> v o l,voldemort
<S> b,be
<S> f r i e,friend
<S> d a,day
<S> w h e r e ',where's
<S> a l r e,already
